id,agencia,CATEGORÍA CENSO 1,CANTIDAD DE SCHOPERAS CCU,CANTIDAD DE SALIDAS,CANTIDAD DE SHOPERAS COMPETENCIA ,CCU/ABINBEV/OTRAS MARCAS COMPETENCIA
2254801,CORPA,CCU/Cuestionados,,,,BUDWEISERSTELLA ARTOIS
2362736,SIN CENSO,NO CENSADO,,,,
2340273,SIN CENSO,NO CENSADO,,,,
2301811,PK,NO REPORTADO COMO IMPLEMENTADO,0,0,0,
861976,CORPA,NO REPORTADO COMO IMPLEMENTADO,1,4,0,BUDWEISERSTELLA ARTOIS
2266343,CORPA,CCU/Cuestionados,,,,CRISTALROYAL GUARD
1340971,CORPA,IMPLEMENTADO,1,3,4,
1469019,PK,CCU/Cuestionados,0,0,0,
2267555,CORPA,IMPLEMENTADO,1,4,0,AUSTRALROYAL GUARD
589205,PK,CCU/Cuestionados,0,0,0,
881402,SIN CENSO,NO CENSADO,,,,
684598,SIN CENSO,NO CENSADO,,,,
#N/A,SIN CENSO,NO CENSADO,,,,
2054580,PK,CCU/Cuestionados,0,0,0,
#N/A,SIN CENSO,NO CENSADO,,,,
764287,PK,IMPLEMENTADO,1,2,0,CRISTAL ( de CCU)
1362043,CORPA,IMPLEMENTADO,1,3,0,
#N/A,SIN CENSO,NO CENSADO,,,,
2359439,SIN CENSO,NO CENSADO,,,,
504789,CORPA,CCU/Cuestionados,1,3,0,AUSTRALROYAL GUARD
858290,PK,NO REPORTADO COMO IMPLEMENTADO,3,1,1,HEINEKEN ( de CCU)AUSTRAL ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)KUNTSMANN ( de CCU)
#N/A,SIN CENSO,CCU/Cuestionados,,,,
2077420,CORPA,CCU/Cuestionados,,,,AUSTRALROYAL GUARD
#N/A,SIN CENSO,NO CENSADO,,,,
2187791,PK,IMPLEMENTADO,1,6,0,AUSTRAL ( de CCU)DOLBEK ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
#N/A,SIN CENSO,NO CENSADO,,,,
2364897,SIN CENSO,NO CENSADO,,,,
#N/A,SIN CENSO,NO CENSADO,,,,
2332535,SIN CENSO,NO CENSADO,,,,
2380973,SIN CENSO,IMPLEMENTADO,,,,
2381410,SIN CENSO,IMPLEMENTADO,,,,
2371923,SIN CENSO,NO CENSADO,,,,
2367327,SIN CENSO,NO CENSADO,,,,
#N/A,SIN CENSO,NO CENSADO,,,,
716891,PK,IMPLEMENTADO,2,3,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)CRISTAL ( de CCU)DOLBEK ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
2342568,SIN CENSO,NO CENSADO,,,,
2313977,CORPA,IMPLEMENTADO,1,4,0,AUSTRALROYAL GUARD
2364730,SIN CENSO,NO CENSADO,,,,
2363431,SIN CENSO,NO CENSADO,,,,
2299718,,,,,,
870102,PK,NO REPORTADO COMO IMPLEMENTADO,1,3,0,AUSTRAL ( de CCU)DOLBEK ( de CCU)HEINEKEN ( de CCU)
680236,PK,NO REPORTADO COMO IMPLEMENTADO,0,0,0,
568764,PK,LOCALES EN REGLA,0,0,0,
1494951,CORPA,IMPLEMENTADO,1,3,4,
2165047,CORPA,LOCALES EN REGLA,,,,AUSTRALROYAL GUARD
1904367,CORPA,LOCALES EN REGLA,,,,AUSTRALROYAL GUARD
932887,CORPA,LOCALES EN REGLA,1,2,0,BUDWEISERSTELLA ARTOIS
714166,CORPA,LOCALES EN REGLA,1,2,0,BUDWEISERSTELLA ARTOIS
2206077,,,,,,
1749382,PK,CCU/Cuestionados,0,0,0,
896693,CORPA,LOCALES EN REGLA,1,2,0,CRISTALROYAL GUARD
