ID CLIENTE,NOMBRE FANTASÍA,RAZÓN SOCIAL,RUT,REGIÓN,COMUNA,DIRECCIÓN,Local implementado según primer reporte (complementario),Local cuestionado por CCU según primer reporte (complementario),Local no implementado por CCU según primer reporte (complementario),Fue censado en julio de 2025,Fue censado en julio de 2025 y sujeto a compromiso N°2
501265,POLIVAN,DIONISIO MICHEA CASTILLO,9506557,ARICA Y PARINACOTA,ARICA,AVENIDA COMANDANTE SAN MA 00101,Si,NO,NO,NO,NO
501975,CLAVERAS Y DIABLITOS,MARICEL IBARRA,15000849,ARICA Y PARINACOTA,ARICA,BOLOGNESI 357,NO,Si,NO,NO,NO
502093,SCALA,SOC.MARCOS PANIAGUA,50401410,ARICA Y PARINACOTA,ARICA,FRANCISCO BOLOGNESI 00367,Si,NO,NO,NO,NO
502168,DIMANGO,GELATERIA DIMANGO LTDA,76056870,ARICA Y PARINACOTA,ARICA,AVENDIDA RAUL PEY 2592,NO,NO,NO,NO,NO
502172,TERRAZAS PUB KARAOKE,MELO ROCO Y OTROS,76231560,ARICA Y PARINACOTA,ARICA,FRANCISCO BOLOGNESI 00359,NO,NO,NO,NO,NO
502267,MARACUYÁ,MARACUYA S.A.,96606180,ARICA Y PARINACOTA,ARICA,AVENIDA COMANDANTE SAN MA 0 321,NO,NO,NO,NO,NO
504198,LA PAPA DI PRATO,ENRICO PRATO ROMAN,9725297,ATACAMA,COPIAPO,ATACAMA 472,Si,NO,NO,NO,NO
504209,CAFELATTE,RODRIGO TORRES PASSALA,9782425,ATACAMA,COPIAPO,OHIGGINS 857,Si,NO,NO,NO,NO
504836,SNACK BAR,SOC. HECORT LTDA.,79761870,ATACAMA,CHAÑARAL,COMERCIO 394,Si,NO,NO,NO,NO
506676,LIKOS,EDUARDO TEODORO LAGO ARAVENA,8838103,TARAPACÁ,IQUIQUE,PLAYA BRAVA 1850,Si,NO,NO,NO,NO
515023,PU,GRISELDA MICHEA,6895852,COQUIMBO,COMBARBALA,PLAZA DE ARMAS 12,Si,NO,NO,NO,NO
521443,BOICOT,ROXANA HENRIQUEZ RODRIGUEZ,11611371,COQUIMBO,LA SERENA,EDUARDO DE LA BARRA 545,Si,NO,NO,NO,NO
524915,BARILOCHE,ESTABLECIMIENTOS BARILOCHE S.A,76036595,COQUIMBO,LA SERENA,ALBERTO SOLARI 1400,Si,NO,NO,Si,Si
525132,OXIGENO,SOC. IND. BIOQUIM Y CIA LT,77118150,COQUIMBO,LA SERENA,AVDA COSTANERA 5700,Si,NO,NO,NO,NO
525225,RESTAURANT EL PEQUEÑO,CLODOMIRO MUNOZ E HIJOS LT,77386750,COQUIMBO,COQUIMBO,WILLY LINDEMANN 2415,NO,NO,Si,NO,NO
525270,RESTAURANT HALLEY,SERVICIOS TURIS. HALLEY LT,77597490,COQUIMBO,VICUÑA,G. MISTRAL 404,Si,NO,NO,NO,NO
525452,MUELLE,SOC. DE TURISMO PERROTTA,78176050,COQUIMBO,LA SERENA,AVENIDA SANTA MARTA PARCELA 10 0,NO,NO,NO,NO,NO
527095,LA PORTADA,GRACIELA GUERRA CORRAL,3017953,ANTOFAGASTA,ANTOFAGASTA,J.A.RIOS 745,Si,NO,NO,NO,NO
528048,BUNDES,CARLOS LORCA SOTO,5758129,ANTOFAGASTA,ANTOFAGASTA,PRAT 730,NO,NO,NO,NO,NO
528659,LA LEONERA,PATRICIA MENAY FARDELLA,6887420,ANTOFAGASTA,ANTOFAGASTA,LATORRE 2670,NO,NO,NO,NO,NO
528822,CHE CARLITOS,CARLOS TALAMILLA,7162523,ANTOFAGASTA,CALAMA,ABAROA 1903,Si,NO,NO,NO,NO
528823,CHE CARLITOS,CARLOS TALAMILLA,7162523,ANTOFAGASTA,CALAMA,ABAROA 1903,Si,NO,NO,NO,NO
529272,GODFATHER,SERGIO RIVADENEIRA,7964919,ANTOFAGASTA,ANTOFAGASTA,J S OSSA 2 PISO 2428,Si,NO,NO,NO,NO
529740,LA JOYA,MIRIAM GARRIDO LSTRA,8842683,ANTOFAGASTA,TOCOPILLA,21 DE MAYO 1977,NO,NO,NO,NO,NO
529982,0,ALEJANDRA ZAINES CORREA,9339556,ANTOFAGASTA,CALAMA,VARGAS 1890,Si,NO,NO,NO,NO
530992,LOLA,SANDRA PRIETO PRIETO,12348880,ANTOFAGASTA,SAN PEDRO DE AT,CARACOLES 441,Si,NO,NO,NO,NO
531498,CACTUS,MARCELA DEL CARMEN GONZALEZ VA,14179874,ANTOFAGASTA,CALAMA,SOTOMAYOR 1901,NO,NO,NO,NO,NO
531614,CHELACABUR,REIJO PASANEN,14672721,ANTOFAGASTA,CALAMA,CARACOLES 212,Si,NO,NO,NO,NO
532287,MADERO,SOC. COM. MADEROS BAR LTDA.,76783130,ANTOFAGASTA,CALAMA,AVDA. GRANADEROS 2575,Si,NO,NO,NO,NO
532340,NUEVO EXTREMME,SOC.COMERCIAL WILAR LTDA.,77439240,ANTOFAGASTA,CALAMA,LATORRE 2041,Si,NO,NO,NO,NO
532375,MUNDO PIZZA,MARTINEZ Y OTROS LTDA.,77727270,ANTOFAGASTA,ANTOFAGASTA,AVDA. ANGAMOS 5,Si,NO,NO,NO,NO
532445,BUNDES SCHOP,SOC. DE INV. E INM. RODO PARK,78774630,ANTOFAGASTA,ANTOFAGASTA,LATORRE 2697,Si,NO,NO,NO,NO
532677,CASINO MARINA DEL SOL,LATIN GAMING CALAMA S.A.,99599080,ANTOFAGASTA,CALAMA,AVDA. BALMACEDA INTERIOR 2680,NO,NO,NO,NO,NO
537460,RESTAURANT DAVO,LILIANA  AYALA TORRES,7757863,BIOBÍO,ARAUCO,MARIANO LATORRE 0,Si,NO,NO,NO,NO
537819,DONDE EL PELAO,PEDRO CACERES,8068731,BIOBÍO,TALCAHUANO,MONSENOR ALARCON 68,Si,NO,NO,Si,Si
538222,EL YUGO,AURORA CAMPOS PROVOSTE,8376320,BIOBÍO,CAÑETE,VIDELA 316,NO,Si,NO,NO,NO
539450,EL CHE,MARIA FREDES AVILES,9556285,BIOBÍO,ARAUCO,ESMERALDA 505,NO,Si,NO,NO,NO
540122,LOS JUANES,JUAN NAVARRO GATICA,10239917,BIOBÍO,CAÑETE,AVDA PDTE FREI 350,Si,NO,NO,NO,NO
540226,LOS CAULLES,MARIA MELGAREJO SOTO,10340674,BIOBÍO,YUMBEL,CARRETERA  Q 50  KM. 22,Si,NO,NO,NO,NO
542284,BAR ROMEO,SERGIO BARRERA BIRTIOLA,13310354,BIOBÍO,TOME,VICUNA MACKENNA 987,Si,NO,NO,Si,Si
542802,SALSI PUEDES,CARLOS OLIVA PINCHEIRA,14373948,BIOBÍO,TALCAHUANO,AVDA. CRISTOBAL COLON 1058,Si,NO,NO,Si,Si
